 gene 	 metA1a 	 metA1b 	 metB1a 	 metB1b 	 metA10a 	 metA10b 	 metB10a 	 metB10b 	 mtrA1a 	 mtrA1b 	 mtrB1a 	 mtrB1b 	 mtrA10a 	 mtrA10b 	 mtrB10a 	 mtrB10b 
 yhjP 	 358.2069 	 327.3103 	 248.6552 	 241.3448 	 546.4828 	 538.6207 	 528.8621 	 502.4483 	 349.3448 	 343.931 	 287.7586 	 285.2414 	 535.5517 	 527.2414 	 422.7931 	 396.6552 
 spoVE 	 387.5172 	 398.2414 	 279.8276 	 316.7931 	 529.069 	 500.1035 	 502.3793 	 518.4138 	 439.6897 	 480.3448 	 314.1035 	 313.931 	 480,00   	 470.3103 	 453.8621 	 541.3104 
 ybbE 	 349.6552 	 353.3448 	 258.2069 	 270.8965 	 583.6896 	 530.7586 	 554.8621 	 563.7931 	 373.6207 	 380.8621 	 284.9655 	 266.6207 	 605.6552 	 627.069 	 492.8621 	 519.7586 
 gutR 	 504.5517 	 536.6552 	 338.2069 	 331.931 	 695.7586 	 643.2759 	 824.3793 	 787.7241 	 529,00   	 528.6552 	 333.6552 	 351.4483 	 669.7931 	 649.931 	 694.931 	 717.5172 
 ykrP 	 311.2414 	 339.2414 	 231.8965 	 231.4138 	 484.5862 	 492.0345 	 564.2069 	 521.6552 	 358.3103 	 348.8621 	 309.8621 	 260.5172 	 441.7586 	 484.8965 	 458.1724 	 454.3793 
 ydgG 	 1067.31 	 1043.517 	 914.4483 	 848.0345 	 1722.345 	 1721.828 	 2453.862 	 2465.172 	 1190.31 	 1134.586 	 907.3104 	 978.4138 	 2187.241 	 2287.931 	 2282.552 	 2357.483 
 yitX 	 428.6897 	 468.8621 	 337.7242 	 307.8276 	 694.8965 	 717.3793 	 823.2759 	 877.8276 	 481.3103 	 493.2069 	 390.2758 	 362.9655 	 834.2759 	 845.5862 	 812.1379 	 802.4483 
 ylnC 	 442.1035 	 465.2069 	 297.9655 	 297.4828 	 583.5517 	 572.7931 	 565.5517 	 584.1379 	 495.8621 	 485.6897 	 370.069 	 391.5517 	 931.931 	 914.1379 	 489.6897 	 522.6207 
 ybgJ 	 584.5517 	 538.069 	 572.4828 	 572.1379 	 973.4828 	 989.6552 	 1245.276 	 1252.862 	 679.1379 	 716.1379 	 621.8621 	 643,00   	 1340.172 	 1317.724 	 1303.069 	 1353.034 
 yerD 	 295.9655 	 289.9655 	 271.931 	 234.7931 	 479.9655 	 386.6897 	 565.6896 	 431.3793 	 338.0345 	 294,00   	 291.1035 	 257.4828 	 494.8621 	 415.2188 	 534.6207 	 437.7586 
 ylaI 	 973.5172 	 886.6896 	 681.3793 	 684.1724 	 1564.828 	 1576.207 	 2243.276 	 2 359,00   	 1001.724 	 958.1724 	 756.6207 	 792.1379 	 1891.448 	 1869.379 	 2206.69 	 2175.931 
 ydiJ 	 435.4138 	 481.069 	 415.2414 	 409.6207 	 627.2069 	 672.3793 	 645.6896 	 632.3104 	 506.7242 	 530.8965 	 415.8621 	 443.5517 	 818.2759 	 789.3104 	 656.3793 	 691.2069 
 yjbA 	 349.8276 	 323.069 	 270.6207 	 243.5172 	 511.5517 	 506.7242 	 535,00   	 420.3448 	 402.931 	 376.2414 	 313.7242 	 268.2414 	 595.2759 	 541.0345 	 519.5517 	 445.1379 
 plsX 	 692.7931 	 676.3448 	 656.2414 	 641.931 	 1165.655 	 1 052,00   	 1103.862 	 1101.241 	 544.3793 	 539.3104 	 607.6552 	 697.069 	 1082.655 	 1042.655 	 1170.862 	 1176.207 
 yceB 	 386.4483 	 437.7242 	 289.4138 	 233.3448 	 499.1724 	 455.2414 	 469.4828 	 510.1035 	 472.3448 	 454.3793 	 298.0345 	 289.5862 	 406.2414 	 418.5862 	 431.069 	 410.5172 
 yetL 	 952.4483 	 892.2069 	 701.3448 	 677.7931 	 1169.69 	 1075.103 	 1283.931 	 1355.034 	 991.9655 	 988.3793 	 806.7241 	 915.3448 	 1150.828 	 1170.31 	 1377.517 	 1453.552 
 yngG 	 232.9231 	 249.3462 	 185,00   	 211.9655 	 345.8462 	 331.8965 	 349.0345 	 355.6552 	 276.3103 	 256.3448 	 227.069 	 215.3448 	 293.9231 	 305.1154 	 356.6897 	 334.0345 
 purL 	 728.7241 	 720.4483 	 622.8276 	 595.8621 	 1173.345 	 1270.69 	 1123.103 	 1172.586 	 532.1035 	 566.7931 	 886.3793 	 910.9655 	 883.3793 	 895.9655 	 1521.069 	 1571.586 
 yjcQ 	 344.4615 	 392.7242 	 274.5862 	 257.0345 	 589.5172 	 563.1035 	 494.6897 	 619.3448 	 397.4828 	 393.6207 	 375.8276 	 378.6552 	 535,00   	 566.4138 	 622.5172 	 612.1035 
 flgB 	 647.931 	 596.4138 	 424.8621 	 357.2414 	 743.8621 	 750.6896 	 790.8965 	 843.7586 	 670.5862 	 704.2759 	 586.6207 	 607.5172 	 773.0345 	 724.7241 	 981.8621 	 1076.448 
 ycgR 	 541.069 	 800.8276 	 365,00   	 480.7586 	 627.5517 	 743.2414 	 723.5517 	 1077.276 	 692.5862 	 826.1379 	 426.6897 	 522.5172 	 583.4138 	 829.5862 	 792.4138 	 1059.207 
 yfmF 	 4357.965 	 4495.069 	 2979.483 	 3059.276 	 4527.345 	 4132.689 	 5580.483 	 5537.759 	 4801.448 	 4892.965 	 3664.69 	 3734.276 	 4790.207 	 4813.448 	 6323.241 	 6234.517 
 yobQ 	 395.875 	 488.0312 	 367.5517 	 593.8965 	 503.3103 	 617.5172 	 387.1379 	 398.3793 	 477.9615 	 611.9655 	 276.8621 	 305.2069 	 485.6923 	 896.1724 	 414.3448 	 600.2414 
 yerL 	 758.1154 	 700.8846 	 523.1724 	 526.4483 	 786.069 	 833.8965 	 765.8276 	 769.3793 	 718.4138 	 675.1724 	 606.2414 	 567.2414 	 781.8276 	 897.2759 	 743.1724 	 816.7241 
 yjiC 	 297.1923 	 264.9615 	 268.8276 	 210.5862 	 436.8965 	 397.5172 	 427.6207 	 387.2069 	 334.2692 	 284,00   	 279.3103 	 234.9655 	 465.3846 	 441.5 	 404.6207 	 347.069 
 fliY 	 511,00   	 501.3462 	 357.8276 	 330.7931 	 861.931 	 834.1035 	 569.3793 	 660.069 	 475.1538 	 475.1154 	 524.9655 	 536.2069 	 784.1379 	 909.1035 	 927.6896 	 1003.759 
 ycxC 	 473.4138 	 476.1724 	 283.6552 	 287.8965 	 635.3104 	 594.069 	 763.931 	 764.6552 	 510.4483 	 486.6552 	 351.1379 	 335.2069 	 702.1035 	 659.4138 	 690.0345 	 700.4828 
 yflH 	 501.2069 	 485.7586 	 345.6207 	 324.8965 	 552,00   	 609.069 	 599.5517 	 621.1379 	 624.5862 	 586.4828 	 378.8965 	 334.6552 	 575.4828 	 613.931 	 628.4138 	 657.5517 
 yojF 	 452.931 	 498.3793 	 313.1035 	 351.1379 	 569.7931 	 557.7241 	 546.069 	 553.2069 	 517.4828 	 522.2069 	 332,00   	 354.2069 	 576.2069 	 617.6207 	 581.2759 	 518.6552 
 yesV 	 1256.69 	 1214.483 	 881.6207 	 866.3448 	 1064.414 	 1120.276 	 1250.276 	 1342.103 	 1469.586 	 1451.103 	 902.069 	 949.0345 	 1177.069 	 1217.414 	 1299.345 	 1323.241 
 xkdC 	 819.8276 	 816,00   	 687.5862 	 608.8621 	 1345.241 	 1289.034 	 1681.034 	 1679.345 	 910.2069 	 874.2759 	 682.1035 	 762.931 	 1483.828 	 1651.655 	 1601.448 	 1470.241 
 tsf 	 1161.586 	 1190.793 	 979.0345 	 961.1724 	 1895.172 	 1891.897 	 2067.966 	 2187.172 	 961.2069 	 962.8621 	 920.5862 	 1042.862 	 1610.414 	 1677.897 	 2093.207 	 2100.724 
 yczF 	 280.3846 	 309.2069 	 205.7241 	 197.6207 	 300.1035 	 277.6207 	 372.5172 	 335.8965 	 285.3103 	 295.2758 	 223.2069 	 235,00   	 367.3448 	 319.0345 	 330.4483 	 340.1724 
 yfkA 	 1099.931 	 1095.828 	 719.1724 	 720.7586 	 766.3104 	 857.1724 	 1060.724 	 1075.69 	 1174.172 	 1107.31 	 691.5517 	 746.069 	 938.1724 	 1029.448 	 1071.862 	 1101.207 
 cgeE 	 231.5 	 235.8846 	 198.8276 	 254.069 	 274,00   	 262.2758 	 294.7586 	 274.8965 	 241.4615 	 251.4828 	 214.6552 	 215.3793 	 312.1379 	 321.7242 	 297.3448 	 307.2758 
 yfjS 	 634.7931 	 664.3793 	 448.6552 	 473.8276 	 739.5862 	 787.6552 	 707.8965 	 758.0345 	 683.0345 	 637.5172 	 415.8965 	 409.4138 	 793.3448 	 757.931 	 751.9655 	 736.8276 
 xhlB 	 433.6897 	 415.7586 	 366.0345 	 407.069 	 726.6896 	 791.8621 	 787.4483 	 799.3793 	 434.1379 	 423.5517 	 279.8621 	 233.1035 	 1028.172 	 1020.104 	 525.8276 	 538.8621 
 ymfD 	 231.1154 	 261,00   	 189.1724 	 219.7586 	 325.3448 	 311,00   	 298.7242 	 295.3448 	 225.6207 	 272.6897 	 217.5517 	 187.2069 	 332.8846 	 331.8077 	 243.6552 	 283.6897 
 ycnI 	 544.4483 	 582.6207 	 419.1035 	 429.9655 	 824.3793 	 832.0345 	 897.931 	 1032.241 	 546.8276 	 586.931 	 382.6207 	 420.9655 	 770.6207 	 798.8965 	 907.6207 	 1057.483 
 ygaE 	 2771.414 	 2777.724 	 2381.138 	 2265.241 	 4437.035 	 4500.965 	 5920.241 	 5785.621 	 2755.207 	 2406.172 	 1738.172 	 1826.724 	 4730.483 	 4040.448 	 6191.138 	 6057.345 
